condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,DIFF,RATIO,ABS ERROR,Avg.underest.(percentage)
0-Control-RR,mae,0.66,350-750 MS.,,0.4,-0.26,0.61,-0.39,0.39
0-Control-RR,mae,0.31,0-350 MS.,,0.23,-0.08,0.75,-0.25,0.25
0-Control-RR,mae,0.93,750-1100 MS.,,0.62,-0.31,0.67,-0.33,0.33
0-Control-RR,mae,0.33,0-350 MS.,,0.22,-0.12,0.65,-0.35,0.35
0-Control-RR,mae,0.13,0-350 MS.,,0.06,-0.06,0.51,-0.49,0.49
0-Control-RR,mae,0.51,350-750 MS.,,0.24,-0.27,0.47,-0.53,0.53
0-Control-RR,mae,1.02,750-1100 MS.,,0.5,-0.52,0.49,-0.51,0.51
0-Control-RR,mae,0.29,0-350 MS.,,0.13,-0.16,0.44,-0.56,0.56
0-Control-RR,mae,0.64,350-750 MS.,,0.29,-0.35,0.45,-0.55,0.55
0-Control-RR,mae,0.9,750-1100 MS.,,0.41,-0.49,0.45,-0.55,0.55
0-Control-RR,mae,0.2,0-350 MS.,,0.11,-0.09,0.55,-0.45,0.45
0-Control-RR,mae,0.1,0-350 MS.,,0.14,0.03,1.33,0.33,-0.33
0-Control-RR,mae,0.5,350-750 MS.,,0.34,-0.15,0.69,-0.31,0.31
0-Control-RR,ot,1.02,750-1100 MS.,,0.93,-0.09,0.91,-0.09,0.09
0-Control-RR,ot,0.1,0-350 MS.,,0.18,0.09,1.88,0.88,-0.88
0-Control-RR,ot,0.62,350-750 MS.,,0.29,-0.33,0.46,-0.54,0.54
0-Control-RR,ot,0.08,0-350 MS.,,0.14,0.07,1.83,0.83,-0.83
0-Control-RR,ot,0.86,750-1100 MS.,,0.54,-0.33,0.62,-0.38,0.38
0-Control-RR,ot,0.66,350-750 MS.,,0.3,-0.36,0.46,-0.54,0.54
0-Control-RR,ot,0.04,0-350 MS.,,0.23,0.19,5.87,4.87,-4.87
0-Control-RR,ot,0.29,0-350 MS.,,0.26,-0.02,0.92,-0.08,0.08
0-Control-RR,ot,0.66,350-750 MS.,,0.44,-0.22,0.67,-0.33,0.33
0-Control-RR,ot,0.9,750-1100 MS.,,0.29,-0.61,0.32,-0.68,0.68
0-Control-RR,ot,0.91,750-1100 MS.,,0.24,-0.67,0.26,-0.74,0.74
0-Control-RR,ot,0.86,750-1100 MS.,,0.32,-0.54,0.37,-0.63,0.63
0-Control-RR,ot,0.31,0-350 MS.,,0.22,-0.09,0.7,-0.3,0.3
0-Control-RR,ot,0.46,350-750 MS.,,0.22,-0.24,0.49,-0.51,0.51
0-Control-RR,ot,0.64,350-750 MS.,,0.28,-0.36,0.44,-0.56,0.56
0-Control-RR,ot,0.1,0-350 MS.,,0.29,0.19,2.95,1.95,-1.95
0-Control-RR,ot,0.13,0-350 MS.,,0.33,0.2,2.62,1.62,-1.62
0-Control-RR,ot,0.1,0-350 MS.,,0.35,0.25,3.43,2.43,-2.43
0-Control-RR,ot,1.09,750-1100 MS.,,0.35,-0.74,0.32,-0.68,0.68
0-Control-RR,ot,1.01,750-1100 MS.,,0.3,-0.71,0.29,-0.71,0.71
0-Control-RR,ot,0.09,0-350 MS.,,0.31,0.22,3.47,2.47,-2.47
0-Control-RR,ot,0.95,750-1100 MS.,,0.29,-0.66,0.3,-0.7,0.7
0-Control-RR,ot,0.3,0-350 MS.,,0.26,-0.04,0.86,-0.14,0.14
0-Control-RR,ot,0.8,750-1100 MS.,,0.39,-0.41,0.49,-0.51,0.51
0-Control-RR,ot,0.95,750-1100 MS.,,0.78,-0.17,0.82,-0.18,0.18
