condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,space_RT,DIFFERENCE,RATIO,ABS ERROR,Avg.underest.(percentage),LOG_RT
5-Control-RF,TY2,0.65,650 MS.,,0.47,0.45,-0.18,0.73,-0.27,0.27,-0.79
5-Control-RF,TY2,0.65,650 MS.,,0.51,0.54,-0.14,0.79,-0.21,0.21,-0.61
5-Control-RF,TY2,0.65,650 MS.,,0.52,0.35,-0.13,0.8,-0.2,0.2,-1.05
5-Control-RF,TY2,0.65,650 MS.,,0.47,0.47,-0.18,0.73,-0.27,0.27,-0.75
5-Control-RF,TY2,0.65,650 MS.,,0.34,0.60,-0.31,0.53,-0.47,0.47,-0.51
5-Control-RF,TY2,0.65,650 MS.,,0.46,0.46,-0.19,0.71,-0.29,0.29,-0.77
5-Control-RF,TY2,0.65,650 MS.,,0.50,0.55,-0.15,0.76,-0.24,0.24,-0.61
5-Control-RF,TY2,0.65,650 MS.,,0.46,0.68,-0.19,0.7,-0.3,0.3,-0.39
5-Control-RF,TY2,0.65,650 MS.,,0.53,1.42,-0.12,0.81,-0.19,0.19,0.35
5-Control-RF,TY2,0.65,650 MS.,,0.47,0.64,-0.18,0.73,-0.27,0.27,-0.44
5-Control-RF,TY2,0.65,650 MS.,,0.46,0.45,-0.19,0.7,-0.3,0.3,-0.8
5-Control-RF,TY2,0.65,650 MS.,,0.51,0.50,-0.14,0.79,-0.21,0.21,-0.69
5-Control-RF,TY2,0.65,650 MS.,,0.46,0.54,-0.19,0.71,-0.29,0.29,-0.61
5-Control-RF,TY2,0.65,650 MS.,,0.46,0.80,-0.19,0.71,-0.29,0.29,-0.22
5-Control-RF,TY2,0.65,650 MS.,,0.59,0.42,-0.06,0.91,-0.09,0.09,-0.87
5-Control-RF,TY2,0.65,650 MS.,,0.44,0.58,-0.21,0.68,-0.32,0.32,-0.54
5-Control-RF,TY2,0.65,650 MS.,,0.50,0.45,-0.15,0.78,-0.22,0.22,-0.8
5-Control-RF,TY2,0.65,650 MS.,,0.55,0.42,-0.1,0.85,-0.15,0.15,-0.86
5-Control-RF,TY2,0.65,650 MS.,,0.46,0.46,-0.19,0.71,-0.29,0.29,-0.78
5-Control-RF,TY2,0.65,650 MS.,,0.52,0.43,-0.13,0.8,-0.2,0.2,-0.84
5-Control-RF,TY2,0.65,650 MS.,,0.49,0.70,-0.16,0.75,-0.25,0.25,-0.36
5-Control-RF,TY2,0.65,650 MS.,,0.61,0.60,-0.04,0.94,-0.06,0.06,-0.51
5-Control-RF,TY2,0.65,650 MS.,,0.36,0.98,-0.29,0.55,-0.45,0.45,-0.02
5-Control-RF,TY2,0.65,650 MS.,,0.44,0.51,-0.21,0.68,-0.32,0.32,-0.67
5-Control-RF,TY2,0.65,650 MS.,,0.41,0.59,-0.24,0.63,-0.37,0.37,-0.53
5-Control-RF,TY2,0.65,650 MS.,,0.50,0.55,-0.15,0.76,-0.24,0.24,-0.61
5-Control-RF,TY2,0.65,650 MS.,,0.52,0.60,-0.13,0.8,-0.2,0.2,-0.52
5-Control-RF,TY2,0.65,650 MS.,,0.58,0.68,-0.07,0.89,-0.11,0.11,-0.38
5-Control-RF,TY2,0.65,650 MS.,,0.42,0.63,-0.23,0.64,-0.36,0.36,-0.46
5-Control-RF,TY2,0.65,650 MS.,,0.43,0.64,-0.22,0.66,-0.34,0.34,-0.44
5-Control-RF,TY2,0.65,650 MS.,,0.46,0.53,-0.19,0.71,-0.29,0.29,-0.64
5-Control-RF,TY2,0.65,650 MS.,,0.41,0.82,-0.24,0.63,-0.37,0.37,-0.2
5-Control-RF,TY2,0.65,650 MS.,,0.42,0.55,-0.23,0.64,-0.36,0.36,-0.59
5-Control-RF,TY2,0.65,650 MS.,,0.34,0.66,-0.31,0.52,-0.48,0.48,-0.42
5-Control-RF,TY2,0.65,650 MS.,,0.36,0.71,-0.29,0.55,-0.45,0.45,-0.34
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.49,0.51,-0.16,0.75,-0.25,0.25,-0.68
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.62,0.54,-0.03,0.96,-0.04,0.04,-0.62
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.61,0.79,-0.04,0.94,-0.06,0.06,-0.24
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.82,0.35,0.17,1.27,0.27,-0.27,-1.04
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.71,0.52,0.06,1.1,0.1,-0.1,-0.65
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.74,0.83,0.09,1.13,0.13,-0.13,-0.19
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.82,0.62,0.17,1.26,0.26,-0.26,-0.48
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.75,0.52,0.1,1.16,0.16,-0.16,-0.65
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.64,0.66,-0.01,0.98,-0.02,0.02,-0.41
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.52,0.66,-0.13,0.8,-0.2,0.2,-0.41
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.58,0.36,-0.07,0.9,-0.1,0.1,-1.03
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.58,0.26,-0.07,0.9,-0.1,0.1,-1.35
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.80,0.80,0.15,1.23,0.23,-0.23,-0.23
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.66,0.42,0.01,1.01,0.01,-0.01,-0.87
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.69,0.53,0.04,1.06,0.06,-0.06,-0.63
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.65,1.02,0,1,0,0,0.02
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.65,0.36,0,1,0,0,-1.02
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.62,0.41,-0.03,0.95,-0.05,0.05,-0.88
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.57,0.46,-0.08,0.87,-0.13,0.13,-0.77
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.55,0.71,-0.1,0.85,-0.15,0.15,-0.35
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.66,0.41,0.01,1.01,0.01,-0.01,-0.88
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.61,0.34,-0.04,0.94,-0.06,0.06,-1.07
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.58,0.37,-0.07,0.9,-0.1,0.1,-1
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.73,0.48,0.08,1.12,0.12,-0.12,-0.74
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.58,0.44,-0.07,0.9,-0.1,0.1,-0.82
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.58,0.41,-0.07,0.89,-0.11,0.11,-0.9
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.55,0.49,-0.1,0.85,-0.15,0.15,-0.71
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.56,0.34,-0.09,0.86,-0.14,0.14,-1.09
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.58,0.40,-0.07,0.89,-0.11,0.11,-0.92
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.67,0.92,0.02,1.03,0.03,-0.03,-0.09
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.70,0.54,0.05,1.08,0.08,-0.08,-0.62
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.76,0.50,0.11,1.17,0.17,-0.17,-0.69
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.71,0.56,0.06,1.1,0.1,-0.1,-0.58
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.82,0.39,0.17,1.26,0.26,-0.26,-0.95
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.66,0.55,0.01,1.02,0.02,-0.02,-0.6
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.61,0.55,-0.04,0.94,-0.06,0.06,-0.6
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.55,0.47,-0.1,0.85,-0.15,0.15,-0.77
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.66,0.37,0.01,1.02,0.02,-0.02,-1.01
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.62,0.50,-0.03,0.95,-0.05,0.05,-0.7
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.70,0.61,0.05,1.07,0.07,-0.07,-0.5
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.62,0.53,-0.03,0.96,-0.04,0.04,-0.64
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.70,0.40,0.05,1.07,0.07,-0.07,-0.92
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.80,0.62,0.15,1.23,0.23,-0.23,-0.48
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.55,0.58,-0.1,0.85,-0.15,0.15,-0.54
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.62,0.59,-0.03,0.96,-0.04,0.04,-0.53
6-Prediction-RF,TY2,0.65,650 MS.,FALSE,0.63,0.36,-0.02,0.97,-0.03,0.03,-1.02
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.72,0.66,0.07,1.11,0.11,-0.11,-0.41
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.69,0.47,0.04,1.06,0.06,-0.06,-0.76
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.74,0.54,0.09,1.13,0.13,-0.13,-0.62
6-Prediction-RF,TY2,0.65,650 MS.,TRUE,0.75,0.48,0.1,1.16,0.16,-0.16,-0.73
7-Control- FF,TY2,0.65,650 MS.,,0.40,0.56,-0.25,0.62,-0.38,0.38,-0.58
7-Control- FF,TY2,0.65,650 MS.,,0.47,0.37,-0.18,0.73,-0.27,0.27,-1
7-Control- FF,TY2,0.65,650 MS.,,0.39,0.49,-0.26,0.6,-0.4,0.4,-0.71
7-Control- FF,TY2,0.65,650 MS.,,0.45,0.74,-0.2,0.69,-0.31,0.31,-0.31
7-Control- FF,TY2,0.65,650 MS.,,0.34,0.46,-0.31,0.52,-0.48,0.48,-0.77
7-Control- FF,TY2,0.65,650 MS.,,0.49,0.42,-0.16,0.75,-0.25,0.25,-0.88
7-Control- FF,TY2,0.65,650 MS.,,0.45,0.71,-0.2,0.69,-0.31,0.31,-0.34
7-Control- FF,TY2,0.65,650 MS.,,0.50,0.81,-0.15,0.78,-0.22,0.22,-0.21
7-Control- FF,TY2,0.65,650 MS.,,0.45,0.67,-0.2,0.69,-0.31,0.31,-0.4
7-Control- FF,TY2,0.65,650 MS.,,0.50,0.79,-0.15,0.76,-0.24,0.24,-0.24
7-Control- FF,TY2,0.65,650 MS.,,0.46,0.38,-0.19,0.7,-0.3,0.3,-0.98
7-Control- FF,TY2,0.65,650 MS.,,0.50,0.48,-0.15,0.76,-0.24,0.24,-0.74
7-Control- FF,TY2,0.65,650 MS.,,0.48,0.54,-0.17,0.74,-0.26,0.26,-0.61
7-Control- FF,TY2,0.65,650 MS.,,0.50,0.60,-0.15,0.76,-0.24,0.24,-0.51
7-Control- FF,TY2,0.65,650 MS.,,0.46,0.65,-0.19,0.7,-0.3,0.3,-0.43
7-Control- FF,TY2,0.65,650 MS.,,0.51,0.41,-0.14,0.79,-0.21,0.21,-0.89
7-Control- FF,TY2,0.65,650 MS.,,0.51,0.55,-0.14,0.79,-0.21,0.21,-0.6
7-Control- FF,TY2,0.65,650 MS.,,0.53,0.43,-0.12,0.81,-0.19,0.19,-0.85
7-Control- FF,TY2,0.65,650 MS.,,0.61,1.02,-0.04,0.94,-0.06,0.06,0.02
7-Control- FF,TY2,0.65,650 MS.,,0.46,0.58,-0.19,0.7,-0.3,0.3,-0.54
7-Control- FF,TY2,0.65,650 MS.,,0.57,0.93,-0.08,0.87,-0.13,0.13,-0.07
7-Control- FF,TY2,0.65,650 MS.,,0.43,1.90,-0.22,0.66,-0.34,0.34,0.64
7-Control- FF,TY2,0.65,650 MS.,,0.42,0.62,-0.23,0.64,-0.36,0.36,-0.48
7-Control- FF,TY2,0.65,650 MS.,,0.51,0.55,-0.14,0.79,-0.21,0.21,-0.59
7-Control- FF,TY2,0.65,650 MS.,,0.54,0.52,-0.11,0.82,-0.18,0.18,-0.65
7-Control- FF,TY2,0.65,650 MS.,,0.44,0.47,-0.21,0.68,-0.32,0.32,-0.75
7-Control- FF,TY2,0.65,650 MS.,,0.54,0.46,-0.11,0.84,-0.16,0.16,-0.78
7-Control- FF,TY2,0.65,650 MS.,,0.42,1.20,-0.23,0.64,-0.36,0.36,0.18
7-Control- FF,TY2,0.65,650 MS.,,0.46,0.60,-0.19,0.7,-0.3,0.3,-0.51
7-Control- FF,TY2,0.65,650 MS.,,0.55,0.72,-0.1,0.85,-0.15,0.15,-0.33
7-Control- FF,TY2,0.65,650 MS.,,0.52,0.43,-0.13,0.8,-0.2,0.2,-0.84
7-Control- FF,TY2,0.65,650 MS.,,0.41,0.63,-0.24,0.63,-0.37,0.37,-0.46
7-Control- FF,TY2,0.65,650 MS.,,0.57,0.59,-0.08,0.87,-0.13,0.13,-0.53
7-Control- FF,TY2,0.65,650 MS.,,0.60,0.50,-0.05,0.92,-0.08,0.08,-0.69
7-Control- FF,TY2,0.65,650 MS.,,0.74,0.41,0.09,1.13,0.13,-0.13,-0.89
7-Control- FF,TY2,0.65,650 MS.,,0.46,0.65,-0.19,0.71,-0.29,0.29,-0.43
7-Control- FF,TY2,0.65,650 MS.,,0.38,0.48,-0.27,0.59,-0.41,0.41,-0.74
7-Control- FF,TY2,0.65,650 MS.,,0.51,0.64,-0.14,0.79,-0.21,0.21,-0.45
7-Control- FF,TY2,0.65,650 MS.,,0.49,0.77,-0.16,0.75,-0.25,0.25,-0.26
7-Control- FF,TY2,0.65,650 MS.,,0.50,0.63,-0.15,0.76,-0.24,0.24,-0.47
7-Control- FF,TY2,0.65,650 MS.,,0.50,1.08,-0.15,0.78,-0.22,0.22,0.07
7-Control- FF,TY2,0.65,650 MS.,,0.47,0.49,-0.18,0.73,-0.27,0.27,-0.72
7-Control- FF,TY2,0.65,650 MS.,,0.50,0.63,-0.15,0.78,-0.22,0.22,-0.46
7-Control- FF,TY2,0.65,650 MS.,,0.48,0.48,-0.17,0.74,-0.26,0.26,-0.74
7-Control- FF,TY2,0.65,650 MS.,,0.42,0.47,-0.23,0.65,-0.35,0.35,-0.76
7-Control- FF,TY2,0.65,650 MS.,,0.42,0.30,-0.23,0.65,-0.35,0.35,-1.22
7-Control- FF,TY2,0.65,650 MS.,,0.54,0.41,-0.11,0.84,-0.16,0.16,-0.9
7-Control- FF,TY2,0.65,650 MS.,,0.50,0.45,-0.15,0.78,-0.22,0.22,-0.79
7-Control- FF,TY2,0.65,650 MS.,,0.38,0.44,-0.27,0.58,-0.42,0.42,-0.82
7-Control- FF,TY2,0.65,650 MS.,,0.53,0.42,-0.12,0.81,-0.19,0.19,-0.87
0-Control-RR,MEC,0.8,750-1150 MS.,,0.76,0.56,-0.04,0.94,-0.06,0.06,-0.59
0-Control-RR,MEC,0.28,150-450 MS.,,0.46,0.78,0.18,1.63,0.63,-0.63,-0.24
0-Control-RR,MEC,1.11,750-1150 MS.,,1.27,0.72,0.16,1.15,0.15,-0.15,-0.32
0-Control-RR,MEC,0.21,150-450 MS.,,0.55,0.83,0.34,2.61,1.61,-1.61,-0.18
0-Control-RR,MEC,0.62,450-750 MS.,,0.56,0.65,-0.06,0.91,-0.09,0.09,-0.42
0-Control-RR,MEC,0.71,450-750 MS.,,0.55,0.44,-0.15,0.78,-0.22,0.22,-0.82
0-Control-RR,MEC,0.82,750-1150 MS.,,0.54,0.50,-0.28,0.66,-0.34,0.34,-0.68
0-Control-RR,MEC,0.32,150-450 MS.,,0.48,1.11,0.16,1.5,0.5,-0.5,0.1
0-Control-RR,MEC,0.41,150-450 MS.,,0.62,1.15,0.21,1.5,0.5,-0.5,0.14
0-Control-RR,MEC,1.11,750-1150 MS.,,0.88,0.55,-0.23,0.8,-0.2,0.2,-0.59
0-Control-RR,MEC,0.92,750-1150 MS.,,0.68,0.42,-0.24,0.74,-0.26,0.26,-0.86
0-Control-RR,MEC,0.46,450-750 MS.,,0.52,0.59,0.06,1.13,0.13,-0.13,-0.53
0-Control-RR,MEC,0.42,150-450 MS.,,0.46,0.87,0.04,1.09,0.09,-0.09,-0.13
0-Control-RR,MEC,0.71,450-750 MS.,,0.66,0.44,-0.05,0.93,-0.07,0.07,-0.83
0-Control-RR,MEC,1.11,750-1150 MS.,,0.72,0.46,-0.39,0.65,-0.35,0.35,-0.78
0-Control-RR,MEC,0.86,750-1150 MS.,,0.82,0.76,-0.03,0.96,-0.04,0.04,-0.28
0-Control-RR,MEC,0.87,750-1150 MS.,,0.74,0.49,-0.13,0.85,-0.15,0.15,-0.72
0-Control-RR,MEC,0.75,750-1150 MS.,,0.70,0.49,-0.05,0.94,-0.06,0.06,-0.71
0-Control-RR,MEC,1,750-1150 MS.,,0.85,0.42,-0.15,0.85,-0.15,0.15,-0.87
0-Control-RR,MEC,0.73,450-750 MS.,,0.55,0.59,-0.18,0.76,-0.24,0.24,-0.53
0-Control-RR,MEC,0.86,750-1150 MS.,,0.70,0.57,-0.16,0.82,-0.18,0.18,-0.56
0-Control-RR,MEC,1.05,750-1150 MS.,,0.82,0.49,-0.22,0.79,-0.21,0.21,-0.71
0-Control-RR,MEC,0.37,150-450 MS.,,0.82,0.70,0.45,2.2,1.2,-1.2,-0.35
0-Control-RR,MEC,0.96,750-1150 MS.,,0.89,0.66,-0.07,0.93,-0.07,0.07,-0.41
0-Control-RR,MEC,0.53,450-750 MS.,,0.51,0.34,-0.02,0.97,-0.03,0.03,-1.07
0-Control-RR,MEC,0.59,450-750 MS.,,0.76,0.45,0.17,1.29,0.29,-0.29,-0.79
0-Control-RR,MEC,0.2,150-450 MS.,,0.43,0.44,0.23,2.11,1.11,-1.11,-0.83
0-Control-RR,MEC,0.66,450-750 MS.,,0.68,0.35,0.02,1.04,0.04,-0.04,-1.06
0-Control-RR,MEC,1.06,750-1150 MS.,,0.73,0.43,-0.33,0.69,-0.31,0.31,-0.85
0-Control-RR,MEC,0.46,450-750 MS.,,0.40,0.41,-0.06,0.88,-0.12,0.12,-0.88
0-Control-RR,MEC,0.98,750-1150 MS.,,0.74,0.31,-0.23,0.76,-0.24,0.24,-1.16
0-Control-RR,MEC,1.04,750-1150 MS.,,0.77,0.40,-0.27,0.74,-0.26,0.26,-0.93
0-Control-RR,MEC,0.35,150-450 MS.,,0.42,0.50,0.07,1.19,0.19,-0.19,-0.69
0-Control-RR,MEC,0.35,150-450 MS.,,0.41,0.65,0.05,1.15,0.15,-0.15,-0.44
0-Control-RR,MEC,0.89,750-1150 MS.,,0.55,0.44,-0.34,0.62,-0.38,0.38,-0.81
0-Control-RR,MEC,0.52,450-750 MS.,,0.45,0.49,-0.08,0.85,-0.15,0.15,-0.72
0-Control-RR,MEC,0.73,450-750 MS.,,0.76,0.51,0.03,1.04,0.04,-0.04,-0.67
0-Control-RR,MEC,0.8,750-1150 MS.,,0.82,0.49,0.01,1.01,0.01,-0.01,-0.72
0-Control-RR,MEC,0.48,450-750 MS.,,0.67,0.59,0.2,1.41,0.41,-0.41,-0.52
0-Control-RR,MEC,1.06,750-1150 MS.,,0.94,0.38,-0.13,0.88,-0.12,0.12,-0.96
0-Control-RR,MEC,0.18,150-450 MS.,,0.42,0.77,0.24,2.3,1.3,-1.3,-0.26
0-Control-RR,MEC,0.42,150-450 MS.,,0.61,0.48,0.19,1.46,0.46,-0.46,-0.73
0-Control-RR,MEC,0.33,150-450 MS.,,0.67,0.67,0.34,2.04,1.04,-1.04,-0.39
0-Control-RR,MEC,0.22,150-450 MS.,,0.66,0.68,0.44,2.99,1.99,-1.99,-0.39
0-Control-RR,MEC,0.18,150-450 MS.,,0.70,0.75,0.52,3.86,2.86,-2.86,-0.28
0-Control-RR,MEC,0.51,450-750 MS.,,0.72,0.40,0.21,1.41,0.41,-0.41,-0.92
0-Control-RR,MEC,1.08,750-1150 MS.,,0.89,0.50,-0.2,0.82,-0.18,0.18,-0.7
0-Control-RR,MEC,0.33,150-450 MS.,,0.71,0.51,0.38,2.16,1.16,-1.16,-0.68
0-Control-RR,MEC,0.18,150-450 MS.,,0.78,0.67,0.6,4.4,3.4,-3.4,-0.41
0-Control-RR,MEC,0.98,750-1150 MS.,,0.95,0.36,-0.02,0.97,-0.03,0.03,-1.03
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.58,0.39,-0.07,0.9,-0.1,0.1,-0.93
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.63,0.34,-0.02,0.97,-0.03,0.03,-1.08
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.66,0.44,0.01,1.02,0.02,-0.02,-0.82
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.64,0.55,-0.01,0.98,-0.02,0.02,-0.59
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.60,0.52,-0.05,0.92,-0.08,0.08,-0.65
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.62,0.54,-0.03,0.95,-0.05,0.05,-0.61
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.58,0.52,-0.07,0.89,-0.11,0.11,-0.65
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.61,0.61,-0.04,0.94,-0.06,0.06,-0.49
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.61,0.74,-0.04,0.94,-0.06,0.06,-0.3
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.62,0.48,-0.03,0.96,-0.04,0.04,-0.74
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.57,0.61,-0.08,0.87,-0.13,0.13,-0.5
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.65,0.36,0,1,0,0,-1.02
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.62,0.40,-0.03,0.96,-0.04,0.04,-0.91
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.57,0.48,-0.08,0.87,-0.13,0.13,-0.72
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.69,0.36,0.04,1.06,0.06,-0.06,-1.02
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.60,0.41,-0.05,0.92,-0.08,0.08,-0.89
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.63,0.37,-0.02,0.97,-0.03,0.03,-0.98
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.61,0.52,-0.04,0.94,-0.06,0.06,-0.65
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.66,0.45,0.01,1.02,0.02,-0.02,-0.81
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.69,0.33,0.04,1.06,0.06,-0.06,-1.12
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.68,0.98,0.03,1.05,0.05,-0.05,-0.02
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.66,0.54,0.01,1.01,0.01,-0.01,-0.61
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.54,0.63,-0.11,0.82,-0.18,0.18,-0.47
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.57,0.58,-0.08,0.87,-0.13,0.13,-0.54
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.66,0.41,0.01,1.01,0.01,-0.01,-0.88
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.56,0.39,-0.09,0.86,-0.14,0.14,-0.93
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.51,0.50,-0.14,0.79,-0.21,0.21,-0.69
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.56,0.63,-0.09,0.86,-0.14,0.14,-0.46
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.58,0.50,-0.07,0.9,-0.1,0.1,-0.7
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.54,0.60,-0.11,0.84,-0.16,0.16,-0.51
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.54,0.56,-0.11,0.84,-0.16,0.16,-0.58
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.56,0.48,-0.09,0.86,-0.14,0.14,-0.74
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.47,0.60,-0.18,0.73,-0.27,0.27,-0.51
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.63,0.59,-0.02,0.97,-0.03,0.03,-0.54
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.62,0.70,-0.03,0.95,-0.05,0.05,-0.36
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.43,0.94,-0.22,0.66,-0.34,0.34,-0.06
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.66,0.86,0.01,1.01,0.01,-0.01,-0.15
1-Motor-FF,MEC,0.65,650 MS.,FALSE,,,,,,,
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.62,0.54,-0.03,0.96,-0.04,0.04,-0.62
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.65,1.73,0,1,0,0,0.55
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.54,0.78,-0.11,0.82,-0.18,0.18,-0.25
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.58,0.61,-0.07,0.89,-0.11,0.11,-0.5
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.58,0.72,-0.07,0.89,-0.11,0.11,-0.32
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.56,0.73,-0.09,0.86,-0.14,0.14,-0.32
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.62,0.63,-0.03,0.96,-0.04,0.04,-0.46
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.58,0.75,-0.07,0.9,-0.1,0.1,-0.28
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.61,0.71,-0.04,0.94,-0.06,0.06,-0.34
1-Motor-FF,MEC,0.65,650 MS.,TRUE,0.70,0.71,0.05,1.07,0.07,-0.07,-0.34
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.69,0.59,0.04,1.06,0.06,-0.06,-0.52
1-Motor-FF,MEC,0.65,650 MS.,FALSE,0.66,0.73,0.01,1.02,0.02,-0.02,-0.32
2-Control-FR,MEC,0.96,750-1150 MS.,,0.54,0.47,-0.41,0.57,-0.43,0.43,-0.75
2-Control-FR,MEC,0.53,450-750 MS.,,0.55,0.47,0.02,1.04,0.04,-0.04,-0.76
2-Control-FR,MEC,0.46,450-750 MS.,,0.63,0.62,0.18,1.39,0.39,-0.39,-0.47
2-Control-FR,MEC,0.71,450-750 MS.,,0.57,0.55,-0.14,0.8,-0.2,0.2,-0.59
2-Control-FR,MEC,0.33,150-450 MS.,,0.42,0.73,0.09,1.29,0.29,-0.29,-0.31
2-Control-FR,MEC,0.21,150-450 MS.,,0.47,0.67,0.26,2.23,1.23,-1.23,-0.4
2-Control-FR,MEC,0.18,150-450 MS.,,0.32,0.66,0.14,1.81,0.81,-0.81,-0.42
2-Control-FR,MEC,0.87,750-1150 MS.,,0.62,0.46,-0.25,0.71,-0.29,0.29,-0.77
2-Control-FR,MEC,0.89,750-1150 MS.,,0.57,0.43,-0.33,0.64,-0.36,0.36,-0.83
2-Control-FR,MEC,0.22,150-450 MS.,,0.45,0.51,0.23,2.04,1.04,-1.04,-0.67
2-Control-FR,MEC,0.18,150-450 MS.,,0.40,0.59,0.22,2.22,1.22,-1.22,-0.53
2-Control-FR,MEC,0.71,450-750 MS.,,0.37,0.48,-0.34,0.52,-0.48,0.48,-0.73
